order,mixture
1,R1234ze(Z)[0.50]&CycloHexane[0.50]
2,EthylBenzene[0.49]&DimethylCarbonate[0.51]
3,Cyclopentane[0.47]&MD4M[0.53]
4,MDM[0.50]&MD2M[0.50]
1,DimethylCarbonate[0.50]&EthylBenzene[0.50]
2,DimethylCarbonate[0.21]&CycloHexane[0.79]
3,DimethylCarbonate[0.50]&CycloHexane[0.50]
4,DimethylCarbonate[0.07]&1-Butene[0.93]
5,CycloHexane[0.41]&1-Butene[0.59]
6,R1234ze(Z)[0.50]&1-Butene[0.50]
7,1-Butene[0.50]&CycloHexane[0.50]
8,R1234ze(Z)[0.18]&DimethylCarbonate[0.82]
9,R1234ze(Z)[0.19]&DimethylCarbonate[0.81]
14,R1234ze(Z)[0.05]&Dichloroethane[0.95]
15,Dichloroethane[0.45]&R1234ze(Z)[0.55]
