order,mixture
1,Cyclopentane[0.47]&MD4M[0.53]
2,R1234ze(Z)[0.42]&CycloHexane[0.58]
3,R1234ze(Z)[0.50]&MDM[0.50]
4,DimethylCarbonate[0.31]&R1234ze(Z)[0.69]
5,DimethylCarbonate[0.19]&MD4M[0.81]
6,Ethanol[0.50]&trans-2-Butene[0.50]
7,Benzene[0.50]&R142b[0.50]
8,p-Xylene[0.50]&R142b[0.50]
9,SulfurDioxide[0.49]&cis-2-Butene[0.51]
10,IsoButene[0.49]&n-Butane[0.51]
11,R1233zd(E)[0.49]&SulfurDioxide[0.51]
12,1-Butene[0.50]&R142b[0.50]
13,R114[0.48]&R1234ze(Z)[0.52]
14,Novec649[0.48]&IsoButene[0.52]
15,SulfurDioxide[0.50]&Water[0.50]
16,R142b[0.50]&R40[0.50]
17,IsoButene[0.50]&R40[0.50]
18,EthyleneOxide[0.50]&R40[0.50]
19,m-Xylene[0.49]&Water[0.51]
