phase,order,mixture,mode,comp1,comp2,x1,Tc_K,Pc_Pa,eta,p_evap_bar,p_cond_bar,cost
INIT,1,Water[0.50]&m-Xylene[0.50],mixture,Water,m-Xylene,0.5,631.9929999999999,14352235.285719305,-0.05,-1.0,-1.0,6.1
INIT,2,Water[0.37]&m-Xylene[0.63],mixture,Water,m-Xylene,0.37,628.0662199999999,11427568.164245302,-0.05,-1.0,-1.0,7.1
INIT,3,R113[0.36]&R245fa[0.64],mixture,R113,R245fa,0.36,448.682,4056460.07187536,0.11616543463175022,21.133927594722184,1.4079673480059458,8.1
INIT,4,m-Xylene[0.49]&Water[0.51],mixture,m-Xylene,Water,0.49,632.2950599999999,14588326.98473889,-0.05,-1.0,-1.0,9.1
INIT,5,Isopentane[0.37]&R245fa[0.63],mixture,Isopentane,R245fa,0.37,419.6288369081201,3424237.345104842,0.08067761876914967,28.003167816679557,5.109102133545133,10.1
OPT,6,R11[0.50]&Neopentane[0.50],mixture,R11,Neopentane,0.5,452.425,3979752.88305022,0.10157912978294363,19.746480894564236,2.783160717251192,11.1
OPT,7,R21[0.50]&R245fa[0.50],mixture,R21,R245fa,0.5,439.245,4681030.2607708005,0.11287066609672752,27.13519857419732,2.5254775559838443,12.1
OPT,8,R21[0.50]&o-Xylene[0.50],mixture,R21,o-Xylene,0.5,540.8695,4422166.527470773,-0.05,-1.0,-1.0,13.1
OPT,9,Cyclopentane[0.49]&R142b[0.51],mixture,Cyclopentane,R142b,0.49,459.97540000000004,4558633.802590556,0.09576266737382645,13.580156838016775,2.0704244173235558,14.1
OPT,10,R114[0.50]&R365MFC[0.50],mixture,R114,R365MFC,0.5,439.41499999999996,3595011.1673773727,0.08571142289302672,21.280702948110047,3.275777365570713,15.1
OPT,11,cis-2-Butene[0.50]&R142b[0.50],mixture,cis-2-Butene,R142b,0.5,423.005,4370354.10157839,0.10555673671451904,30.533601387801376,3.8016334855799343,16.1
OPT,12,Dichloroethane[0.49]&SulfurDioxide[0.51],mixture,Dichloroethane,SulfurDioxide,0.49,494.8104,7015842.897837809,0.07100182337723931,11.420562846566801,3.0086112606714908,17.1
OPT,13,DiethylEther[0.50]&SulfurDioxide[0.50],mixture,DiethylEther,SulfurDioxide,0.5,465.3315381257812,5796034.132675404,0.12101559217925688,25.655291339378593,1.8726921087554187,18.1
OPT,14,Water[0.50]&EthyleneOxide[0.50],mixture,Water,EthyleneOxide,0.5,558.008,26842759.389272165,-0.05,-1.0,-1.0,19.1
OPT,15,D6[0.49]&MethylPalmitate[0.51],mixture,D6,MethylPalmitate,0.49,701.4821999999999,1131289.697713308,-0.05,-1.0,-1.0,20.1
