order,mixture
1,MethylPalmitate[0.48]&Dichloroethane[0.52]
2,trans-2-Butene[0.49]&Isohexane[0.51]
3,Cyclopentane[0.50]&MD3M[0.50]
4,SulfurDioxide[0.47]&Acetone[0.53]
5,R365MFC[0.50]&n-Octane[0.50]
1,Acetone[0.50]&SulfurDioxide[0.50]
2,trans-2-Butene[0.50]&Isohexane[0.50]
3,Isohexane[0.37]&Acetone[0.63]
4,Acetone[0.50]&Isohexane[0.50]
5,Acetone[0.09]&m-Xylene[0.91]
6,Acetone[0.18]&n-Octane[0.82]
7,Acetone[0.50]&R365MFC[0.50]
8,Acetone[0.05]&Isopentane[0.95]
9,Acetone[0.50]&Isopentane[0.50]
10,Acetone[0.09]&Isohexane[0.91]
11,Acetone[0.05]&Water[0.95]
12,Acetone[0.46]&Isohexane[0.54]
13,Acetone[0.43]&Isohexane[0.57]
14,Acetone[0.05]&Toluene[0.95]
15,R365MFC[0.50]&Toluene[0.50]
